ma,ngay_ban_hanh,hieu_luc,bi_sua_doi_boi,bi_thay_the_boi,du_thao_thay_the,ghi_chu
NĐ 45/2022,07/7/2022,25/8/2022,NĐ 290/2025 (tài nguyên nước),,"Dự thảo NĐ thay thế","Xử phạt BVMT; Sở CT chỉ Đ45–46 (k4 Đ64); lập BB cần QĐ giao (Đ71 không liệt kê Sở CT)"
NĐ 16/2022,,,,,"Dự thảo NĐ thay thế","Xử phạt xây dựng — kiểm tra khi có nghị định mới"
NĐ 32/2024,15/3/2024,01/5/2024,NĐ 303/2026 (15/9/2026),,,"Quản lý CCN; NĐ 303 hạ ngưỡng lấp đầy 50%, thẩm quyền thành lập → UBND xã, 4 loại CCN mới"
NĐ 303/2026,,15/9/2026,,,,"Sửa NĐ 32/2024 về CCN"
NĐ 181/2024,,01/01/2025,NĐ 146/2025,,,"Chi tiết Luật 42/2024 (VLNCN, tiền chất); Mẫu 01, 02 huấn luyện"
NĐ 146/2025,,,,,,"Sửa NĐ 181/2024 (phân cấp, phân quyền); Đ24; k5 Đ37 ATTP"
NĐ 105/2025,,,,,,"Chi tiết Luật PCCC 55/2024; kiểm tra định kỳ Phụ lục II"
NĐ 106/2025,,,,,,"Xử phạt PCCC"
NĐ 161/2024,,,,,,"Danh mục HHNH, vận chuyển HHNH — hnh-sct-vn"
NĐ 168/2024,,,,,,"Xử phạt giao thông đường bộ (vận chuyển HHNH)"
NĐ 283/2026,,10/9/2026,,,,"Xử phạt lao động, ATVSLĐ — chưa có plugin ATVSLĐ riêng"
NĐ 133/2026,,,,,,"Xử phạt điện lực — QLNL"
NĐ 46/2026,,,,,"TẠM NGƯNG theo NQ 15/2026","ATTP — đọc attp-sct-vn reference 08 trước khi dẫn"
NĐ 30/2020,05/3/2020,05/3/2020,,,,"Công tác văn thư — thể thức VBHC (vbhc-vn)"
NĐ 207/2026,,01/7/2026,,,,"Chi tiết Luật Xây dựng 135/2025; kho VLNCN tạm miễn KTCTNT (k1 Đ25, k3 Đ53)"
NĐ 217/2026,,01/7/2026,,,,"Quản lý dự án/thiết kế xây dựng — tkm-sct-vn GATE k5 Đ76"
QĐ 2867/QĐ-UBND,17/8/2026,20/8/2026 → 28/02/2027,,,,"Uỷ quyền Sở CT cấp GP sử dụng VLNCN (/GP-SCT, PGĐ Thuân ký); không gồm thu hồi GP, phê duyệt PANM"
QĐ 2848/QĐ-UBND,14/8/2026,,,,,"Sửa QĐ 1696 — mở rộng uỷ quyền cấp GP vận chuyển HHNH (7 loại, GĐ Sở ký)"
QĐ 5116/QĐ-SCT,20/8/2026,20/8/2026,,,,"Giao PTP phụ trách khoáng sản + CV QLCN lập biên bản VPHC khoáng sản — bản ký số xp-sct-vn/van-ban-goc/khoang-san"
QĐ 5/2025/QĐ-UBND,01/7/2025,01/7/2025,,,,"Chức năng, nhiệm vụ, cơ cấu tổ chức Sở Công Thương"
QĐ 42/2026/QĐ-TTG,,25/9/2026,,,,"Danh mục cơ sở kiểm kê KNK (18 cơ sở công thương Lào Cai)"
QĐ 68/QĐ-UBND,09/01/2026,,,,,"Uỷ quyền cấp GCN ATTP"
QĐ 1883/QĐ-UBND,,,,,,"Uỷ quyền GĐ Sở cấp GCN huấn luyện KTAT VLNCN — KHÔNG phải uỷ quyền cấp GP sử dụng"
QĐ 16/2026/QĐ-UBND,,,,,,"Quy chế quản lý CCN Lào Cai"
QĐ 525/QĐ-UBND,25/02/2026,,,,,"Quy hoạch tỉnh Lào Cai (điều chỉnh)"
TT 26/2026,,29/5/2026 (một phần),,,,"TT-BCT sửa TT 38/2025, 23/2024… — HHNH loại 5, 8 về UBND tỉnh"
TT 56/2025,28/11/2025,,,,,"TT-BCT hướng dẫn kiểm tra chuyên ngành NĐ 217/2025 — 10 mẫu"
NQ 15/2026/NQ-CP,,,,,,"Tạm ngưng NĐ 46/2026 (ATTP)"
NQ 169/NQ-CP,27/6/2026,,,,,"Mục tiêu tăng trưởng — dacn-sct-vn"
KL 48/KL-TT,,,,,,"Kết luận thanh tra Hóa chất mỏ Tây Bắc — 3 vi phạm hết thời hiệu"
